linenumber,name,address_one,address_two,city,state,zip,amount,date,year
SB21,Latino Leadership Institute,440 E. 117th St. #5B,,New York,NY,10035,1025,6/16/14,2014
SB21,Light for the Eyes,3681 Broadway Suite 67,,New York,NY,10031,250,9/27/06,2006
SB21,Light for the Eyes,3681 Broadway Suite 67,,New York,NY,10031,500,10/23/07,2007
SB21,Little Sisters Health Service,333 East 115th Street,,New York,NY,10029,600,4/30/07,2007
SB21,"Manna House Workshop, Inc.",338 E 106th St,,New York,NY,100294833,1000,1/31/06,2006
SB21,"Manna House Workshop, Inc.",338 E 106th St,,New York,NY,100294833,500,6/6/07,2007
SB21,"Manna House Workshop, Inc.",338 E 106th St,,New York,NY,100294833,5000,10/8/08,2008
SB21,"Martin Luther King, Jr. Towers Resident Commission",,,,,,200,10/20/06,2006
SB21,"Martin Luther King, Jr. Towers Resident Commission",c/o Martin Luther King Jr. Towers,90 Lenox Avenue,New York,NY,10026,150,9/4/08,2008
SB21,"Martin Luther King, Jr. Towers Resident Commission",c/o Martin Luther King Jr. Towers,90 Lenox Avenue,New York,NY,10026,150,7/19/10,2010
SB21,"Martin Luther King, Jr. Towers Resident Commission",c/o Martin Luther King Jr. Towers,90 Lenox Avenue,New York,NY,10026,400,7/15/11,2011
SB21,Memorial Baptist Church,141 W 115th St,,New York,NY,100262908,100,2/20/08,2008
SB21,Mental Health Foundation,PO Box 322,,Albany,NY,12201,500,7/16/08,2008
SB21,Metro-Manhattan Community Foundation,173 w. 87th Street,Apt. 17C,New York,NY,10024,2000,11/30/10,2010
SB21,Metropolitan Black Bar Association,PO Box 3417,,New York,NY,10208,1000,5/6/08,2008
SB21,Metropolitan Community United Methodist Church,1975 Madison Avenue,,New York,NY,10035,700,8/21/07,2007
SB21,Metropolitan Community United Methodist Church,1975 Madison Avenue,,New York,NY,10035,100,9/20/07,2007
SB21,Metropolitan Community United Methodist Church,1975 Madison Avenue,,New York,NY,10035,250,6/1/10,2010
SB21,Metropolitan Hospital Auxillary,1901 First Avenue Room 12B-1,,New York,NY,10029,500,8/17/05,2005
SB21,Metropolitian Jewish Council on Poverty,Attn: Ms. Merryl H. Tisch,P.O. Box 218,New York,NY,10038,1000,8/21/07,2007
SB21,Metropolitian Jewish Council on Poverty,Attn: Ms. Merryl H. Tisch,P.O. Box 218,New York,NY,10038,100,1/9/08,2008
SB21,Metropolitian Jewish Council on Poverty,Attn: Ms. Merryl H. Tisch,P.O. Box 218,New York,NY,10038,500,5/21/08,2008
SB21,Miguel Martinez for City Council,192 Audubon Ave,,New York,NY,100338727,2750,2/18/09,2009
SB21,ML Wilson Boys and Girls Club,425 West 144th Street,,New York,NY,10031,10000,2/16/05,2005
SB21,ML Wilson Boys and Girls Club,425 West 144th Street,,New York,NY,10031,2000,12/16/08,2008
SB21,Mother AME Zion Church,140-6 West 137th Street,,New York,NY,10030,100,10/17/07,2007
SB21,Mother AME Zion Church,140-6 West 137th Street,,New York,NY,10030,1000,10/29/07,2007
